"Statistic Label","CensusYear","Sex","Administrative Counties","UNIT","VALUE"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Fingal County Council","Number","3308"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","South Dublin County Council","Number","3905"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Kildare County Council","Number","3035"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Kilkenny County Council","Number","1548"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Laois County Council","Number","1338"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Longford County Council","Number","705"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Louth County Council","Number","2178"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Meath County Council","Number","2599"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Offaly County Council","Number","1389"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Westmeath County Council","Number","1327"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Wexford County Council","Number","2628"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Wicklow County Council","Number","2165"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Clare County Council","Number","1848"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Cork City Council","Number","3412"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Cork County Council","Number","5018"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Kerry County Council","Number","2392"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Limerick City & County Council","Number","3473"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Tipperary County Council","Number","2932"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Waterford City & County Council","Number","1895"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Galway City Council","Number","1015"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Galway County Council","Number","2817"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Leitrim County Council","Number","567"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Mayo  County Council","Number","2159"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Roscommon County Council","Number","1213"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Sligo County Council","Number","1027"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Cavan County Council","Number","1162"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Donegal County Council","Number","2802"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Monaghan County Council","Number","917"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Ireland","Number","89335"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Carlow County Council","Number","1154"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Dublin City Council","Number","10193"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","3769"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Fingal County Council","Number","4493"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","South Dublin County Council","Number","4836"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Kildare County Council","Number","3571"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Kilkenny County Council","Number","1884"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Laois County Council","Number","1595"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Longford County Council","Number","906"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Louth County Council","Number","2577"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Meath County Council","Number","3146"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Offaly County Council","Number","1593"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Westmeath County Council","Number","1652"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Wexford County Council","Number","3154"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Wicklow County Council","Number","2576"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Clare County Council","Number","2284"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Cork City Council","Number","4514"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Cork County Council","Number","6067"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Kerry County Council","Number","2780"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Limerick City & County Council","Number","3910"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Tipperary County Council","Number","3413"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Waterford City & County Council","Number","2333"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Galway City Council","Number","1318"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Galway County Council","Number","3373"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Leitrim County Council","Number","719"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Mayo  County Council","Number","2888"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Roscommon County Council","Number","1409"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Sligo County Council","Number","1390"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Cavan County Council","Number","1353"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Donegal County Council","Number","3403"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Female","Monaghan County Council","Number","1082"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Ireland","Number","119061"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Carlow County Council","Number","1510"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Dublin City Council","Number","14032"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","4884"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Fingal County Council","Number","5639"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","South Dublin County Council","Number","6396"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Kildare County Council","Number","4745"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Kilkenny County Council","Number","2508"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Laois County Council","Number","2043"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Longford County Council","Number","1230"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Louth County Council","Number","3411"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Meath County Council","Number","4018"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Offaly County Council","Number","2058"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Westmeath County Council","Number","2131"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Wexford County Council","Number","4147"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Wicklow County Council","Number","3468"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Clare County Council","Number","3007"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Cork City Council","Number","5934"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Cork County Council","Number","7986"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Kerry County Council","Number","3837"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Limerick City & County Council","Number","5437"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Tipperary County Council","Number","4551"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Waterford City & County Council","Number","3003"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Galway City Council","Number","1774"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Galway County Council","Number","4658"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Leitrim County Council","Number","980"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Mayo  County Council","Number","3833"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Roscommon County Council","Number","1915"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Sligo County Council","Number","1872"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Cavan County Council","Number","1862"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Donegal County Council","Number","4639"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Both sexes","Monaghan County Council","Number","1553"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Ireland","Number","50743"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Carlow County Council","Number","611"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Dublin City Council","Number","5788"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","1862"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Fingal County Council","Number","2336"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","South Dublin County Council","Number","2753"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Kildare County Council","Number","2141"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Kilkenny County Council","Number","1080"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Laois County Council","Number","920"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Longford County Council","Number","515"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Louth County Council","Number","1503"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Meath County Council","Number","1791"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Offaly County Council","Number","935"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Westmeath County Council","Number","951"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Wexford County Council","Number","1771"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Wicklow County Council","Number","1474"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Clare County Council","Number","1281"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Cork City Council","Number","2464"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Cork County Council","Number","3484"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Kerry County Council","Number","1660"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Limerick City & County Council","Number","2392"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Tipperary County Council","Number","1925"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Waterford City & County Council","Number","1280"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Galway City Council","Number","745"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Galway County Council","Number","2031"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Leitrim County Council","Number","401"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Mayo  County Council","Number","1543"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Roscommon County Council","Number","831"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Sligo County Council","Number","764"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Cavan County Council","Number","855"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Donegal County Council","Number","1990"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Male","Monaghan County Council","Number","666"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Ireland","Number","68318"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Carlow County Council","Number","899"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Dublin City Council","Number","8244"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","3022"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Fingal County Council","Number","3303"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","South Dublin County Council","Number","3643"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Kildare County Council","Number","2604"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Kilkenny County Council","Number","1428"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Laois County Council","Number","1123"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Longford County Council","Number","715"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Louth County Council","Number","1908"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Meath County Council","Number","2227"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Offaly County Council","Number","1123"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Westmeath County Council","Number","1180"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Wexford County Council","Number","2376"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Wicklow County Council","Number","1994"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Clare County Council","Number","1726"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Cork City Council","Number","3470"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Cork County Council","Number","4502"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Kerry County Council","Number","2177"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Limerick City & County Council","Number","3045"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Tipperary County Council","Number","2626"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Waterford City & County Council","Number","1723"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Galway City Council","Number","1029"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Galway County Council","Number","2627"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Leitrim County Council","Number","579"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Mayo  County Council","Number","2290"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Roscommon County Council","Number","1084"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Sligo County Council","Number","1108"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Cavan County Council","Number","1007"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Donegal County Council","Number","2649"
"Going outside the home to shop or visit a doctor's surgery to a greater extent","2022","Female","Monaghan County Council","Number","887"
